riferimento;iataCode;lat;lon;timezone
Roma;FCO;41.7998868;12.2462384;Europe/Rome
Brindisi;BDS;40.6321500;17.93607;Europe/Rome
Catania;CTA;37.4666648;15.0583331;Europe/Rome
Cagliari;CAG;39.2508806631;9.05256978972;Europe/Rome
Bergamo;BGY;45.6695707;9.7036313;Europe/Rome
Atena;ATH;37.935162926;23.93999624;Europe/Athens
Tirana;TIA;41.4165263;19.7129158;Europe/Tirane
Belgrado;BEG;44.81833006;20.30416545;Europe/Belgrade
Sarajevo;SJJ;43.821496714;18.325498698;Europe/Sarajevo
Bucarest;OTP;44.569331056;26.084332996;Europe/Bucharest
Zagabria;ZAG;45.73916371;16.067999728;Europe/Zagreb
Madrid;MAD;40.4839361;-3.5679514999999300;Europe/Madrid
Parigi;CDG;49.0083899664;2.53844117956;Europe/Paris
Berlino;BER;51.1642292;10.4541194;Europe/Berlin
Bruxelles;BRU;50.90082973;4.483998064;Europe/Brussels
Budapest;BUD;47.49801;19.03991;Europe/Budapest
Vienna;VIE;48.20849;16.37208;Europe/Vienna
Lubiana;LJU;46.05108;14.50513;Europe/Ljubljana
Praga;PRG;50.08804;14.42076;Europe/Prague
Lisbona;LIS;38.771163582;-9.133832798;Europe/Lisbon
