riferimento;iataCode;lat;lon
Roma Fiumicino;FCO;41.7998868;12.2462384
Brindisi;BDS;40.6321500;17.93607
Catania;CTA;37.4666648;15.0583331
Cagliari;CAG;39.2508806631;9.05256978972
Bergamo;BGY;45.6695707;9.7036313
Malpensa;MXP;45.624664168;8.720497118
Linate;LIN;45.442998228;9.273665572
Venezia;VCE;45.503164654;12.351165262
Pisa;PSA;43.692330564;10.392331764
Napoli;NAP;40.883996464;14.287832182
Lamezia Terme;SUF;38.903163054;16.238665712
Firenze;FLR;43.805996776;11.202332524
Bari;BRI;41.1366461201;16.7563536412
Torino;TRN;45.200499198;7.643164094
Bologna;BLQ;44.5345978616;11.2865321872
Genova;GOA;44.407998368;8.83582999
Parma;PMF;44.81999672;10.290498838
Perugia;PEG;43.09083297;12.507831302
Roma Ciampino;CIA;41.792996828;12.5916643
Trieste;TRS;45.823163374;13.46999812
